Production Date,Date,Station,Fcst Mn,Fcst Mx,Fcst Avg,Norm Mn,Norm Max,HDD,CDD
12/17/2018,12/17/2018,KABR,18,43,30.5,5.2,24.7,35,0
12/17/2018,12/18/2018,KABR,18,41,29.5,4.9,24.5,36,0
12/17/2018,12/19/2018,KABR,22,44,33,4.6,24.2,32,0
12/17/2018,12/20/2018,KABR,16,39,27.5,4.4,24,38,0
12/17/2018,12/21/2018,KABR,18,37,27.5,4.1,23.8,38,0
12/17/2018,12/22/2018,KABR,14,33,23.5,3.9,23.6,42,0
12/17/2018,12/23/2018,KABR,14,32,23,3.7,23.5,42,0
12/17/2018,12/24/2018,KABR,14,31,22.5,3.5,23.3,43,0
12/17/2018,12/25/2018,KABR,15,31,23,3.3,23.1,42,0
12/17/2018,12/26/2018,KABR,7,24,15.5,3.1,23,50,0
12/17/2018,12/27/2018,KABR,5,21,13,2.9,22.9,52,0
12/17/2018,12/28/2018,KABR,5,23,14,2.8,22.7,51,0
12/17/2018,12/29/2018,KABR,0,20,10,2.6,22.6,55,0
12/17/2018,12/30/2018,KABR,3,22,12.5,2.4,22.5,53,0
12/17/2018,12/17/2018,KABI,38,57,47.5,33.1,56.2,18,0
12/17/2018,12/18/2018,KABI,40,61,50.5,33,56.1,15,0
12/17/2018,12/19/2018,KABI,42,63,52.5,32.9,56,13,0
12/17/2018,12/20/2018,KABI,35,59,47,32.8,55.9,18,0
12/17/2018,12/21/2018,KABI,39,65,52,32.7,55.9,13,0
12/17/2018,12/22/2018,KABI,38,65,51.5,32.7,55.8,14,0
12/17/2018,12/23/2018,KABI,39,64,51.5,32.6,55.7,14,0
12/17/2018,12/24/2018,KABI,42,64,53,32.6,55.7,12,0
12/17/2018,12/25/2018,KABI,46,65,55.5,32.5,55.7,10,0
12/17/2018,12/26/2018,KABI,40,62,51,32.5,55.7,14,0
12/17/2018,12/27/2018,KABI,37,61,49,32.5,55.7,16,0
12/17/2018,12/28/2018,KABI,33,55,44,32.5,55.7,21,0
12/17/2018,12/29/2018,KABI,33,55,44,32.5,55.7,21,0
12/17/2018,12/30/2018,KABI,34,55,44.5,32.5,55.7,21,0
12/17/2018,12/17/2018,KALB,21,39,30,20.6,35.1,35,0
12/17/2018,12/18/2018,KALB,15,30,22.5,20.3,34.8,43,0
12/17/2018,12/19/2018,KALB,18,39,28.5,19.9,34.5,37,0
12/17/2018,12/20/2018,KALB,27,47,37,19.5,34.2,28,0
12/17/2018,12/21/2018,KALB,39,56,47.5,19.2,33.9,18,0
12/17/2018,12/22/2018,KALB,31,43,37,18.8,33.6,28,0
12/17/2018,12/23/2018,KALB,27,36,31.5,18.5,33.3,34,0
12/17/2018,12/24/2018,KALB,23,36,29.5,18.2,33,36,0
12/17/2018,12/25/2018,KALB,20,34,27,17.9,32.8,38,0
12/17/2018,12/26/2018,KALB,24,37,30.5,17.6,32.5,35,0
12/17/2018,12/27/2018,KALB,24,37,30.5,17.3,32.3,35,0
12/17/2018,12/28/2018,KALB,24,38,31,17,32.1,34,0
12/17/2018,12/29/2018,KALB,25,40,32.5,16.7,31.9,33,0
12/17/2018,12/30/2018,KALB,23,38,30.5,16.4,31.7,35,0
